Month,Borough,Community District (CD),Borough Consultation Total SNAP Recipients,Borough Consultation Total SNAP Households,Borough Consultation Total Cash Assistance Recipients,Borough Consultation Total Cash Assistance Cases,Borough Consultation Total Medicaid Only Enrollees,Borough Consultation Total Medicaid Enrollees
12/01/2019,Brooklyn,K02,12650,8588,2897,1828,6264,12781
12/01/2019,Brooklyn,K03,41282,22412,9440,4943,17364,36046
12/01/2019,Brooklyn,K04,22119,13720,3920,2179,10256,20217
12/01/2019,Brooklyn,K05,59297,34164,13756,7170,21929,49131
12/01/2019,Brooklyn,K06,9957,6601,1885,1155,4698,9576
12/01/2019,Brooklyn,K07,19437,11633,2791,1666,18134,25377
12/01/2019,Brooklyn,K08,18676,12199,4792,2888,7795,17618
12/01/2019,Brooklyn,K09,19106,11826,3818,2314,9854,17900
12/01/2019,Brooklyn,K10,15953,9536,1725,1126,14585,19984
12/01/2019,Brooklyn,K11,32613,19739,2844,1749,27572,40043
12/01/2019,Brooklyn,K12,57528,18780,9739,2423,43781,59256
12/01/2019,Brooklyn,K13,30142,20301,4796,2418,14469,32076
12/01/2019,Brooklyn,K14,28006,16818,4237,2463,17840,29217
12/01/2019,Brooklyn,K15,25827,16353,2865,1604,18658,30119
12/01/2019,Brooklyn,K16,35182,19931,11184,5584,10002,30288
12/01/2019,Brooklyn,K17,27917,18021,7101,4257,12860,26357
12/01/2019,Brooklyn,K18,26473,16136,5071,2770,15153,26806
12/01/2019,Manhattan,M01,2196,1789,691,575,1382,2855
12/01/2019,Manhattan,M02,2663,2175,279,275,2374,3412
12/01/2019,Manhattan,M03,34935,24025,5948,3962,20921,38518
12/01/2019,Manhattan,M04,11355,8541,2873,2133,5346,11799
12/01/2019,Manhattan,M05,5760,3856,2779,1640,1617,6446
12/01/2019,Manhattan,M06,4922,4251,925,813,2869,5351
12/01/2019,Manhattan,M07,15508,11621,3256,2308,7661,15998
12/01/2019,Manhattan,M08,5230,4175,742,569,3971,6548
12/01/2019,Manhattan,M09,20485,13541,4661,2898,8715,18998
12/01/2019,Manhattan,M10,29268,18987,7685,4804,10597,26134
12/01/2019,Manhattan,M11,39628,24927,9563,5734,14556,35894
12/01/2019,Manhattan,M12,41909,29027,6051,3989,21162,39789
12/01/2019,Queens,Q01,20858,12679,3885,2281,15958,24700
12/01/2019,Queens,Q02,9719,6223,1525,1033,11259,14825
12/01/2019,Queens,Q03,21352,12459,2379,1540,23130,28817
12/01/2019,Queens,Q04,22755,13432,2526,1636,25235,31689
12/01/2019,Queens,Q05,16369,9698,1850,1189,13695,18514
12/01/2019,Queens,Q06,9293,6656,716,523,8186,12005
12/01/2019,Queens,Q07,24785,16523,3446,2391,31873,41179
12/01/2019,Queens,Q08,16234,10019,2741,1768,15064,21694
12/01/2019,Queens,Q09,19386,11413,2904,1823,15129,21926
12/01/2019,Queens,Q10,14696,8975,2259,1356,10942,16359
12/01/2019,Queens,Q11,6486,4387,733,519,9051,11321
12/01/2019,Queens,Q12,40518,24947,9410,5566,22566,40352
12/01/2019,Queens,Q13,17978,11703,3343,2195,13412,20730
12/01/2019,Queens,Q14,27394,14948,7597,3484,11645,27644
12/01/2019,Staten_Island,S01,34626,18479,10758,4996,15313,34669
12/01/2019,Staten_Island,S02,13737,8189,2386,1333,11162,17269
12/01/2019,Staten_Island,S03,9560,6142,1241,769,8064,11705
03/01/2020,Bronx,B01,41545,22736,12225,6506,12776,36578
03/01/2020,Bronx,B02,20279,11294,6315,3261,5824,18013
03/01/2020,Bronx,B03,39250,21694,12307,6571,10940,33847
03/01/2020,Bronx,B04,50360,28414,14351,7430,17395,44758
03/01/2020,Bronx,B05,49525,27397,15135,7857,15202,42440
03/01/2020,Bronx,B06,36637,20047,13072,6508,9255,32402
03/01/2020,Bronx,B07,41865,24217,11967,6394,15165,37687
03/01/2020,Bronx,B08,15194,9190,3049,1633,7994,15372
03/01/2020,Bronx,B09,48708,27052,13132,6596,18749,44119
03/01/2020,Bronx,B10,16879,10411,3599,1878,8364,16437
03/01/2020,Bronx,B11,22136,13061,5483,2941,10492,22310
03/01/2020,Bronx,B12,34877,19262,11992,5972,11961,32830
03/01/2020,Brooklyn,K01,49022,19574,6486,2451,31021,43857
03/01/2020,Brooklyn,K02,12731,8649,2942,1883,6053,12676
03/01/2020,Brooklyn,K03,40998,22347,9214,4848,16817,35351
03/01/2020,Brooklyn,K04,21920,13739,3790,2156,9960,19797
03/01/2020,Brooklyn,K05,59085,34172,13451,7022,21379,48389
03/01/2020,Brooklyn,K06,9908,6592,1918,1206,4598,9437
03/01/2020,Brooklyn,K07,19136,11555,2735,1646,17427,24595
03/01/2020,Brooklyn,K08,18716,12293,4692,2882,7475,17290
03/01/2020,Brooklyn,K09,19137,11873,3753,2288,9568,17619
03/01/2020,Brooklyn,K10,15961,9573,1721,1101,14176,19614
